fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving
3,baseline_k1,6,367b072edc9822ea,36,35,6.20958,12.60387,6.29220,12.83230,nan,6.20958,12.60387,6.29220,12.83230
3,baseline_k1,6,4a2ef30000d19d90,144,143,1.81594,2.92030,1.80595,2.90948,nan,1.81594,2.92030,1.80595,2.90948
3,baseline_k6,7,367b072edc9822ea,36,35,6.18216,12.47645,6.28679,12.73856,nan,3.04025,6.51501,3.10215,6.68879
3,baseline_k6,7,4a2ef30000d19d90,144,143,2.07201,4.17644,2.06907,4.18295,nan,1.68726,2.48070,1.69306,2.49486
3,baseline_k1,7,367b072edc9822ea,36,35,4.27802,9.20756,4.36604,9.43264,nan,4.27802,9.20756,4.36604,9.43264
3,baseline_k1,7,4a2ef30000d19d90,144,143,1.57609,3.63426,1.57860,3.64982,nan,1.57609,3.63426,1.57860,3.64982
4,baseline_k6,0,394e61f27c2a1700,435,434,1.62265,2.37445,1.62185,2.37480,nan,0.84913,0.58791,0.84933,0.58704
4,baseline_k6,0,4b60f9400a30ceaf,194,193,4.41015,10.45922,4.42283,10.50202,nan,1.65808,4.34930,1.66271,4.36699
4,baseline_k1,0,394e61f27c2a1700,435,434,1.87252,2.11547,1.87097,2.11241,nan,1.87252,2.11547,1.87097,2.11241
4,baseline_k1,0,4b60f9400a30ceaf,194,193,5.03827,11.78488,5.05127,11.82828,nan,5.03827,11.78488,5.05127,11.82828
4,baseline_k6,1,394e61f27c2a1700,435,434,1.22510,1.59122,1.22604,1.59388,nan,1.16549,1.36834,1.16629,1.37048
4,baseline_k6,1,4b60f9400a30ceaf,194,193,3.99183,10.13889,4.00815,10.18897,nan,2.68450,7.17908,2.69405,7.21382
4,baseline_k1,1,394e61f27c2a1700,435,434,1.27575,0.68344,1.27165,0.67537,nan,1.27575,0.68344,1.27165,0.67537
4,baseline_k1,1,4b60f9400a30ceaf,194,193,5.64744,12.68625,5.66064,12.73000,nan,5.64744,12.68625,5.66064,12.73000
4,baseline_k6,2,394e61f27c2a1700,435,434,0.91752,1.16983,0.91741,1.16944,nan,0.86439,1.00160,0.86416,1.00083
4,baseline_k6,2,4b60f9400a30ceaf,194,193,3.53485,8.44718,3.54800,8.48397,nan,2.40025,5.42461,2.40752,5.44574
4,baseline_k1,2,394e61f27c2a1700,435,434,1.74562,1.94319,1.74279,1.93762,nan,1.74562,1.94319,1.74279,1.93762
4,baseline_k1,2,4b60f9400a30ceaf,194,193,5.39363,12.50475,5.40617,12.54703,nan,5.39363,12.50475,5.40617,12.54703
4,baseline_k6,3,394e61f27c2a1700,435,434,0.60878,0.77090,0.60487,0.76663,nan,0.54123,0.63932,0.54044,0.63946
4,baseline_k6,3,4b60f9400a30ceaf,194,193,3.45257,9.01923,3.45838,9.05222,nan,1.89961,4.29752,1.90473,4.31660
