epoca,train_vistas,train_vistas_sd,train_nuevas,train_nuevas_sd,val,val_sd
620,0.06605864404627937,0.03487502196178151,0.10732575866859406,0.04006342470318032,0.1859144718785371,0.055640040569828055
630,0.06304387758063967,0.030036871669256154,0.09999176745380585,0.030219644280182218,0.16275563024516618,0.03440625176011496
640,0.06399716340820305,0.03146331689404424,0.10074817484322314,0.03285503776041914,0.16708277365458862,0.04393273582013572
650,0.05842216925157118,0.02815724296595986,0.10267154040047899,0.0391168741610244,0.15827513339796237,0.042395174398437346
660,0.06272618820366915,0.02832720117119457,0.10701825558984031,0.034902556210589825,0.1575362365692854,0.03500606467762135
670,0.062278238037833944,0.028030778762209413,0.11241499159950763,0.03583109382836193,0.1625136574730277,0.04036132658092486
680,0.0597954710610793,0.02602001270642141,0.10654028293599065,0.035354990046072586,0.14720203261822462,0.028850274848702354
690,0.05511371590546332,0.02812122919041653,0.10260472089673082,0.03415224334382194,0.14148442739886896,0.026879832522958703
700,0.04972459034615895,0.02367565918891356,0.10217680886853486,0.03610054646639529,0.1475302805857999,0.028218178918868308
710,0.05191237160761375,0.02934846960038696,0.10252430342370644,0.03491346481023059,0.15188216497855528,0.02507345265345038
720,0.05153127323137596,0.02193452143177027,0.10407372176026304,0.036340732560861504,0.16408501991203853,0.03698643265065194
730,0.05282685373094864,0.023981945150349744,0.1089835154125467,0.04399350092233728,0.1570940718853048,0.03248874819365495
740,0.04738952452680678,0.02224307615994347,0.11560621737347294,0.05226925060984125,0.16219157805400236,0.03811711510154877
750,0.051912628987338394,0.016138554060574288,0.11188398047427957,0.04129086988182332,0.1525657239503094,0.03592436296000552
760,0.04625616757402895,0.02351914022693716,0.11533121551231791,0.04321014246618146,0.16576516960880586,0.03732343639132259
770,0.046944848232669756,0.02006517173980026,0.10562774816450353,0.042339500201565544,0.16471370535769633,0.03387867455176155
780,0.04889974757679738,0.020033904463693762,0.11617132431517045,0.04689922813074006,0.16540580655315093,0.04202507395582263
790,0.04849930868658703,0.026072448248745002,0.11247052535569917,0.049249505323826964,0.15589175027396,0.03918544112484464
800,0.0474676357844146,0.02072268390518554,0.1147943051958767,0.042059716034933435,0.1631777070994888,0.038761157944009424
810,0.04440695987796062,0.019999274396994966,0.11336434867310648,0.045643595136975725,0.16288907014365708,0.03889540768772026
820,0.04912040619092295,0.022624204054506547,0.11896855723656093,0.05316370406275359,0.17440598737448454,0.05165227769613464
830,0.04459389066687436,0.0202196554326451,0.11061273963423446,0.04202238418266234,0.16060119747583354,0.03946143802590062
840,0.06417275333660655,0.028337179174919926,0.10620750492671505,0.03401014973503418,0.1534063826714243,0.024234899435128385
850,0.049591489347221795,0.024146024711596884,0.10402565713350971,0.04084898556958204,0.17219719144382648,0.04391751567013007
860,0.04963425740788807,0.02426299725395944,0.10845658076383795,0.04772748670844216,0.1592959930588092,0.03788730670648047
870,0.046172062611731235,0.01928687740227945,0.10444705987659593,0.03604729239827548,0.15080428256520204,0.029141210141585883
880,0.04840561279343092,0.02347799088299075,0.10987259346681337,0.045946772617300034,0.1591245803449835,0.036548818662463727
890,0.050945225993928034,0.018234223370786874,0.10921645950293168,0.04426052251978049,0.16358879022300243,0.03647266704831491
