fold,seed,arch,ade8,ade5,fde,acc,train_ade8,best_ep,held_out_scenes
2,0,baseline,4.563931083679199,2.2263102412223814,8.430064296722412,1.0,8.569530487060547,1,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
2,1,wayformer,4.6619405269622805,2.245147705078125,8.725831604003906,1.0,8.117444038391113,60,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
2,1,baseline,4.541320049762726,2.2119911432266237,8.4020747423172,1.0,8.532353401184082,1,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
2,2,wayformer,4.877962827682495,2.320329213142395,8.699678230285645,1.0,8.889845848083496,1,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
2,2,baseline,4.541854405403138,2.2069203853607178,8.397969698905944,1.0,8.597111701965332,1,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
3,0,wayformer,7.144363641738892,3.898245644569397,15.899598526954652,1.0,8.431598663330078,1,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
3,0,baseline,6.759518837928772,3.44077228307724,15.636737585067749,1.0,7.406881809234619,20,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
3,1,wayformer,7.127678632736206,3.8909785985946654,15.84967143535614,1.0,8.377251625061035,1,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
3,1,baseline,6.788915777206421,3.6148951053619385,15.615004682540894,1.0,6.305023670196533,40,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
3,2,wayformer,7.244336128234863,3.9934263467788695,16.04044418334961,1.0,8.4642333984375,1,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
3,2,baseline,6.8932456254959105,3.7179413437843323,16.0841947555542,1.0,5.589521884918213,40,394e61f27c2a1700;7e2f727866c69ea0;9ea216a54ee07b49;ae3d6f946b8e7871;f2ca03b1434a27e4
4,0,wayformer,6.167219448089599,3.613969254493713,11.79080834388733,1.0,16.36488914489746,1,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
4,0,baseline,5.407154870033264,3.1054607629776,11.085418128967286,1.0,17.16013526916504,1,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
4,1,wayformer,6.257697296142578,3.6757569789886473,12.035582971572875,0.9979999899864197,16.29156494140625,1,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
4,1,baseline,5.349826836585999,3.0486550092697144,11.129201436042786,1.0,17.214797973632812,1,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
4,2,wayformer,6.209798383712768,3.4051093459129333,12.79020938873291,1.0,7.382632732391357,40,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
4,2,baseline,5.374420595169068,3.0744768619537353,11.11898136138916,1.0,17.178791046142578,1,4014ae5bcda2726f;82f90331a1dfe968;9fffe68876965f2e;d2399ea6a028ecb2;f7cc90b8f4611d4d
0,0,wayformer_pooled,2.177235221862793,1.2097657203674317,3.9504274845123293,1.0,8.197820663452148,20,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,1,wayformer_pooled,2.6784926414489747,1.4795241832733155,4.812609386444092,1.0,3.322798252105713,80,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,2,wayformer_pooled,2.300227165222168,1.3244725227355958,4.176059675216675,1.0,8.429862976074219,20,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
1,0,wayformer_pooled,4.584592723846436,2.4003215789794923,10.200367546081543,1.0,8.15523910522461,20,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
1,1,wayformer_pooled,4.349674367904663,2.2567383289337157,9.713131713867188,1.0,8.204078674316406,20,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
