fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
2,gate0,0,2e41fe6faf5cd2ea,210,183,1.71227,2.96476,1.76309,3.18470,0.00000
2,gate0,0,41692b0ec7ff4123,105,104,6.32478,21.23954,6.37526,21.43522,0.00000
2,gated,0,2e41fe6faf5cd2ea,210,183,1.81147,3.21486,1.95048,3.62170,0.24149
2,gated,0,41692b0ec7ff4123,105,104,7.12948,22.64855,7.18792,22.86002,0.24149
2,baseline,1,2e41fe6faf5cd2ea,210,183,3.40451,5.55674,3.47144,5.79508,nan
2,baseline,1,41692b0ec7ff4123,105,104,7.42000,22.30342,7.46327,22.48139,nan
2,gate0,1,2e41fe6faf5cd2ea,210,183,3.67548,5.80584,3.71763,6.00873,0.00000
2,gate0,1,41692b0ec7ff4123,105,104,7.43541,21.98881,7.47581,22.16124,0.00000
2,gated,1,2e41fe6faf5cd2ea,210,183,3.00857,5.09610,3.09663,5.39476,0.33566
2,gated,1,41692b0ec7ff4123,105,104,7.69495,23.13723,7.74366,23.32773,0.33566
2,baseline,2,2e41fe6faf5cd2ea,210,183,1.58393,3.09532,1.65844,3.37200,nan
2,baseline,2,41692b0ec7ff4123,105,104,6.55320,22.00737,6.60691,22.20952,nan
2,gate0,2,2e41fe6faf5cd2ea,210,183,1.46520,2.62663,1.51688,2.85505,0.00000
2,gate0,2,41692b0ec7ff4123,105,104,6.05031,20.97245,6.10113,21.17074,0.00000
2,gated,2,2e41fe6faf5cd2ea,210,183,2.32018,4.28713,2.38563,4.56625,0.40859
2,gated,2,41692b0ec7ff4123,105,104,7.45842,22.95526,7.51074,23.15174,0.40859
2,baseline,3,2e41fe6faf5cd2ea,210,183,3.68071,6.01128,3.73467,6.25173,nan
2,baseline,3,41692b0ec7ff4123,105,104,7.99069,23.00643,8.03476,23.18503,nan
2,gate0,3,2e41fe6faf5cd2ea,210,183,3.10072,5.00292,3.12156,5.18686,0.00000
2,gate0,3,41692b0ec7ff4123,105,104,7.23985,21.85910,7.28224,22.03631,0.00000
2,gated,3,2e41fe6faf5cd2ea,210,183,3.63983,5.98987,3.70195,6.23899,0.32014
2,gated,3,41692b0ec7ff4123,105,104,8.46580,23.92870,8.51633,24.11915,0.32014
2,baseline,4,2e41fe6faf5cd2ea,210,183,1.87335,3.49459,1.95248,3.77797,nan
2,baseline,4,41692b0ec7ff4123,105,104,6.65318,21.87271,6.70518,22.07019,nan
2,gate0,4,2e41fe6faf5cd2ea,210,183,3.18194,5.36306,3.22292,5.56477,0.00000
2,gate0,4,41692b0ec7ff4123,105,104,7.10339,21.94122,7.14541,22.11758,0.00000
2,gated,4,2e41fe6faf5cd2ea,210,183,1.87763,3.64388,1.97360,3.94487,0.23519
2,gated,4,41692b0ec7ff4123,105,104,6.91640,22.43401,6.96996,22.63315,0.23519
2,baseline,5,2e41fe6faf5cd2ea,210,183,1.59853,3.02317,1.69242,3.34021,nan
2,baseline,5,41692b0ec7ff4123,105,104,6.66664,21.92112,6.72202,22.12523,nan
2,gate0,5,2e41fe6faf5cd2ea,210,183,2.01792,3.53052,2.06276,3.76008,0.00000
2,gate0,5,41692b0ec7ff4123,105,104,6.64598,21.64714,6.69475,21.83965,0.00000
2,gated,5,2e41fe6faf5cd2ea,210,183,2.00687,3.74381,2.14923,4.14462,0.29767
2,gated,5,41692b0ec7ff4123,105,104,7.23178,22.78838,7.28988,22.99637,0.29767
2,baseline,6,2e41fe6faf5cd2ea,210,183,2.48542,4.33926,2.56789,4.62411,nan
2,baseline,6,41692b0ec7ff4123,105,104,7.12606,22.39326,7.17571,22.58564,nan
2,gate0,6,2e41fe6faf5cd2ea,210,183,2.10480,3.53803,2.16162,3.76987,0.00000
2,gate0,6,41692b0ec7ff4123,105,104,6.48988,21.46591,6.53772,21.65789,0.00000
2,gated,6,2e41fe6faf5cd2ea,210,183,2.93362,4.84077,3.05578,5.21211,0.35534
2,gated,6,41692b0ec7ff4123,105,104,7.81251,23.15627,7.86566,23.35487,0.35534
2,baseline,7,2e41fe6faf5cd2ea,210,183,1.88017,3.45214,1.95084,3.72955,nan
2,baseline,7,41692b0ec7ff4123,105,104,6.80410,22.18841,6.85615,22.38753,nan
2,gate0,7,2e41fe6faf5cd2ea,210,183,1.56063,3.00345,1.58979,3.19279,0.00000
2,gate0,7,41692b0ec7ff4123,105,104,6.15960,21.12410,6.20852,21.31577,0.00000
2,gated,7,2e41fe6faf5cd2ea,210,183,2.76262,4.92802,2.85450,5.23256,0.39013
2,gated,7,41692b0ec7ff4123,105,104,7.73819,23.33428,7.79096,23.53027,0.39013
3,baseline,0,367b072edc9822ea,36,35,5.64582,11.38816,5.73783,11.62221,nan
3,baseline,0,4a2ef30000d19d90,144,143,1.40801,2.23584,1.40130,2.22994,nan
3,gate0,0,367b072edc9822ea,36,35,4.14609,9.05272,4.20944,9.23576,0.00000
3,gate0,0,4a2ef30000d19d90,144,143,1.58765,3.01071,1.58621,3.01501,0.00000
3,gated,0,367b072edc9822ea,36,35,6.91900,13.92329,7.05880,14.24585,0.39074
3,gated,0,4a2ef30000d19d90,144,143,1.30947,2.47526,1.30840,2.48173,0.39074
3,baseline,1,367b072edc9822ea,36,35,4.50065,9.78871,4.57798,10.00485,nan
3,baseline,1,4a2ef30000d19d90,144,143,1.59754,3.56810,1.59673,3.57871,nan
3,gate0,1,367b072edc9822ea,36,35,3.34849,7.38568,3.38904,7.53449,0.00000
3,gate0,1,4a2ef30000d19d90,144,143,1.56607,2.84520,1.56377,2.85043,0.00000
3,gated,1,367b072edc9822ea,36,35,6.68142,13.61827,6.80092,13.91114,0.34906
3,gated,1,4a2ef30000d19d90,144,143,1.75413,3.00421,1.74861,3.00142,0.34906
3,baseline,2,367b072edc9822ea,36,35,3.58933,8.34976,3.63964,8.52331,nan
3,baseline,2,4a2ef30000d19d90,144,143,1.53109,3.25447,1.52927,3.26175,nan
3,gate0,2,367b072edc9822ea,36,35,3.77590,8.43136,3.81256,8.58183,0.00000
3,gate0,2,4a2ef30000d19d90,144,143,1.46908,2.28269,1.46268,2.27782,0.00000
3,gated,2,367b072edc9822ea,36,35,4.98255,10.67904,5.09454,10.93337,0.40207
3,gated,2,4a2ef30000d19d90,144,143,1.72268,3.80859,1.72714,3.82274,0.40207
3,baseline,3,367b072edc9822ea,36,35,5.67832,11.92310,5.79469,12.20759,nan
3,baseline,3,4a2ef30000d19d90,144,143,1.60703,3.48297,1.60765,3.49489,nan
3,gate0,3,367b072edc9822ea,36,35,4.01738,8.54703,4.09048,8.74761,0.00000
3,gate0,3,4a2ef30000d19d90,144,143,1.49579,2.86366,1.49666,2.87406,0.00000
3,gated,3,367b072edc9822ea,36,35,7.73638,15.49435,7.85892,15.78971,0.37941
3,gated,3,4a2ef30000d19d90,144,143,2.03922,3.58086,2.03327,3.57694,0.37941
3,baseline,4,367b072edc9822ea,36,35,5.13230,10.71721,5.21067,10.93481,nan
3,baseline,4,4a2ef30000d19d90,144,143,1.66777,3.39063,1.66330,3.39378,nan
3,gate0,4,367b072edc9822ea,36,35,3.52778,8.02434,3.55814,8.15540,0.00000
3,gate0,4,4a2ef30000d19d90,144,143,1.43020,2.43132,1.42342,2.42506,0.00000
3,gated,4,367b072edc9822ea,36,35,7.03661,13.69427,7.16028,13.98430,0.34787
3,gated,4,4a2ef30000d19d90,144,143,2.01730,2.74761,2.01295,2.74297,0.34787
3,baseline,5,367b072edc9822ea,36,35,4.40746,9.40133,4.50110,9.63123,nan
3,baseline,5,4a2ef30000d19d90,144,143,1.86940,3.99216,1.87396,4.00932,nan
3,gate0,5,367b072edc9822ea,36,35,3.97883,8.25976,4.04392,8.44688,0.00000
3,gate0,5,4a2ef30000d19d90,144,143,1.63342,2.91586,1.63299,2.92421,0.00000
3,gated,5,367b072edc9822ea,36,35,5.26387,11.16131,5.39889,11.46203,0.35885
3,gated,5,4a2ef30000d19d90,144,143,1.69250,3.67316,1.69973,3.69625,0.35885
3,baseline,6,367b072edc9822ea,36,35,6.20958,12.60387,6.29220,12.83230,nan
3,baseline,6,4a2ef30000d19d90,144,143,1.81594,2.92030,1.80595,2.90948,nan
3,gate0,6,367b072edc9822ea,36,35,4.46128,9.35102,4.50836,9.50987,0.00000
3,gate0,6,4a2ef30000d19d90,144,143,1.55550,2.30271,1.54743,2.29357,0.00000
3,gated,6,367b072edc9822ea,36,35,7.12061,14.07972,7.24610,14.37887,0.21015
3,gated,6,4a2ef30000d19d90,144,143,2.21933,3.10211,2.21831,3.10285,0.21015
3,baseline,7,367b072edc9822ea,36,35,4.27802,9.20756,4.36604,9.43264,nan
3,baseline,7,4a2ef30000d19d90,144,143,1.57609,3.63426,1.57860,3.64982,nan
3,gate0,7,367b072edc9822ea,36,35,3.27546,7.46546,3.32845,7.63333,0.00000
3,gate0,7,4a2ef30000d19d90,144,143,1.39914,3.06450,1.39926,3.07495,0.00000
3,gated,7,367b072edc9822ea,36,35,6.87887,13.74588,6.98134,14.00604,0.36319
3,gated,7,4a2ef30000d19d90,144,143,1.57240,2.36342,1.56868,2.36176,0.36319
4,baseline,0,394e61f27c2a1700,435,434,1.87252,2.11547,1.87097,2.11241,nan
4,baseline,0,4b60f9400a30ceaf,194,193,5.03827,11.78488,5.05127,11.82828,nan
4,gate0,0,394e61f27c2a1700,435,434,2.33988,2.59701,2.33814,2.59308,0.00000
4,gate0,0,4b60f9400a30ceaf,194,193,5.28633,12.13263,5.29771,12.17325,0.00000
4,gated,0,394e61f27c2a1700,435,434,1.12359,0.89067,1.12389,0.89070,0.36225
4,gated,0,4b60f9400a30ceaf,194,193,4.20279,10.48185,4.21928,10.53147,0.36225
4,baseline,1,394e61f27c2a1700,435,434,1.27575,0.68344,1.27165,0.67537,nan
4,baseline,1,4b60f9400a30ceaf,194,193,5.64744,12.68625,5.66064,12.73000,nan
4,gate0,1,394e61f27c2a1700,435,434,0.91601,2.32809,0.91372,2.32858,0.00000
4,gate0,1,4b60f9400a30ceaf,194,193,4.24254,10.16281,4.25437,10.20417,0.00000
4,gated,1,394e61f27c2a1700,435,434,1.95585,1.89353,1.95156,1.88479,0.40707
4,gated,1,4b60f9400a30ceaf,194,193,6.67871,14.66748,6.69343,14.71396,0.40707
4,baseline,2,394e61f27c2a1700,435,434,1.74562,1.94319,1.74279,1.93762,nan
4,baseline,2,4b60f9400a30ceaf,194,193,5.39363,12.50475,5.40617,12.54703,nan
4,gate0,2,394e61f27c2a1700,435,434,0.99336,0.97446,0.99161,0.97181,0.00000
4,gate0,2,4b60f9400a30ceaf,194,193,3.95471,9.98682,3.96603,10.02752,0.00000
4,gated,2,394e61f27c2a1700,435,434,1.77665,2.11302,1.77491,2.11012,0.37585
4,gated,2,4b60f9400a30ceaf,194,193,5.52116,12.58077,5.53670,12.62865,0.37585
4,baseline,3,394e61f27c2a1700,435,434,1.34846,3.27593,1.34854,3.28048,nan
4,baseline,3,4b60f9400a30ceaf,194,193,3.97869,9.83931,3.99241,9.88367,nan
4,gate0,3,394e61f27c2a1700,435,434,1.38161,2.78074,1.38003,2.78156,0.00000
4,gate0,3,4b60f9400a30ceaf,194,193,4.32650,10.36833,4.33795,10.40920,0.00000
4,gated,3,394e61f27c2a1700,435,434,0.99577,1.06365,0.99427,1.06139,0.41350
4,gated,3,4b60f9400a30ceaf,194,193,4.63207,10.93243,4.64546,10.97416,0.41350
4,baseline,4,394e61f27c2a1700,435,434,1.70306,3.44889,1.70508,3.45568,nan
